Date,Open,High,Low,Close,Volume
6/26/2015,53.778,53.822,53.2,53.418,19192000
6/29/2015,52.39,53.19,52.14,52.404,17394500
6/30/2015,52.96,54.184,52.8,53.652,15434675
7/1/2015,54.222,54.524,53.57,53.83,10506000
7/2/2015,56,56.49,54.662,56.004,35819500
7/6/2015,55.69,56.338,55.26,55.944,20609500
7/7/2015,55,55.04,52.154,53.576,30525500
7/8/2015,51.864,52.16,50.862,50.992,31105000
7/9/2015,51.816,52.59,51.358,51.584,16670000
7/10/2015,52.444,52.6,51.564,51.83,13054000
7/13/2015,52.44,52.51,51.21,52.432,14801500
7/14/2015,52.42,53.198,52.102,53.13,9537110
7/15/2015,53.348,53.498,52.416,52.628,10104315
7/16/2015,52.844,53.44,52.632,53.336,8079500
7/17/2015,54.484,55.108,53.65,54.932,25020000
7/20/2015,55,57.33,54.508,56.452,24892000
7/21/2015,54.01,54.7,53.31,53.354,30543000
7/22/2015,52.254,53.888,52.172,53.574,15524500
7/23/2015,53.93,53.98,53.054,53.44,11136000
7/24/2015,53.476,54.218,52.784,53.082,14182000
7/27/2015,52.486,52.886,50.158,50.602,23470500
7/28/2015,51.15,53.08,50.368,52.964,19479000
7/29/2015,52.854,53.578,52.4,52.764,13950000
7/30/2015,52.538,53.388,52.422,53.358,10172500
7/31/2015,53.52,53.872,53.024,53.23,11112500
8/3/2015,53.258,53.342,51.414,51.998,12765540
8/4/2015,52.002,53.344,51.668,53.256,11762500
8/5/2015,52.716,54.2,52.08,54.026,31071500
8/6/2015,49.908,51,47.224,49.226,73098710
8/7/2015,48.716,48.746,47.678,48.502,25366500
8/10/2015,47.63,48.594,47.21,48.228,20929000
8/11/2015,47.43,47.86,46.888,47.474,21311570
8/12/2015,47,47.954,46.548,47.634,18695500
8/13/2015,47.972,49.296,47.824,48.502,23445500
8/14/2015,49.448,49.586,48.354,48.63,21824000
8/17/2015,51.112,51.318,50.102,50.998,35883000
8/18/2015,51.076,52.19,50.712,52.144,20975000
8/19/2015,52.066,52.13,51.004,51.05,18021000
8/20/2015,50.412,50.912,48.38,48.436,24528500
8/21/2015,47.2,48.76,46.102,46.154,32951000
8/24/2015,40.558,46.28,39,43.774,47903445
8/25/2015,46.138,46.18,43.824,44.006,21636000
8/26/2015,45.586,45.6,43.102,44.968,24815000
8/27/2015,46.2,48.95,46.162,48.598,38279500
8/28/2015,48.372,50.29,48.314,49.696,27568000
8/31/2015,49.124,50.99,49.102,49.812,23501000
9/1/2015,48.068,49.2,47.394,47.726,27273500
9/2/2015,49.06,49.576,47.956,49.538,23145500
9/3/2015,50.412,50.416,49,49.114,20973500
9/4/2015,48.178,48.818,47.64,48.386,18445500
9/8/2015,49.01,49.832,48.81,49.634,15691000
9/9/2015,50.41,50.85,49.66,49.782,16953500
9/10/2015,49.446,50.144,49.066,49.696,13544810
9/11/2015,49.528,50.048,48.946,50.048,11754000
9/14/2015,50.22,50.85,49.934,50.638,14454000
9/15/2015,50.55,50.92,49.9,50.714,14667000
9/16/2015,50.608,52.576,50.576,52.45,22085000
9/17/2015,52.792,53.1,52.138,52.414,17929060
9/18/2015,51.592,52.764,51.5,52.124,18815000
9/21/2015,52.796,54.314,51.16,52.84,30600500
9/22/2015,51.806,52.53,51.174,52.188,18321500
9/23/2015,52.39,52.416,51.516,52.212,13003890
9/24/2015,51.906,52.69,51.242,52.624,17224635
9/25/2015,53.322,53.382,51.23,51.382,18866500
9/28/2015,51.47,51.958,49.322,49.686,24502895
9/29/2015,50.092,50.946,49.092,49.33,18515500
9/30/2015,50.4,50.48,48.468,49.68,24647500
10/1/2015,49.502,49.7,47.426,47.976,22864500
10/2/2015,47.12,49.54,46.986,49.514,22119500
10/5/2015,49.768,49.968,48.826,49.23,18444440
10/6/2015,48,48.606,47.116,48.292,26179000
10/7/2015,47.326,47.54,45.824,46.392,34069500
10/8/2015,46.016,46.144,44.262,45.344,30666000
10/9/2015,44.186,44.874,43.672,44.138,30784000
10/12/2015,44.598,44.6,43.054,43.116,19161990
10/13/2015,42.656,44.504,42.226,43.85,25857500
10/14/2015,44.134,44.19,43.086,43.376,15522000
10/15/2015,43.286,44.346,42.74,44.262,14221000
10/16/2015,44.608,46.096,44.574,45.402,21672000
10/19/2015,45.3,46.23,44.988,45.62,12539475
10/20/2015,45.544,45.72,40.4,42.606,62279490
10/21/2015,42.398,42.962,41.76,42.018,20917000
10/22/2015,42.312,43.15,41.88,42.344,14125500
10/23/2015,43,43.07,41.538,41.818,21177000
10/26/2015,42.276,43.176,42,43.052,16957000
10/27/2015,42.968,43.42,41.502,42.07,17597000
10/28/2015,42.262,42.69,41.66,42.592,13642500
10/29/2015,42.35,42.75,42.128,42.326,9025000
10/30/2015,42.08,42.326,40.778,41.386,22194500
11/2/2015,41.784,43.16,41.444,42.758,19638865
11/3/2015,42.77,42.888,41.55,41.67,41662000
11/4/2015,45.4,46.548,45.04,46.326,63625260
11/5/2015,46.116,46.916,45.838,46.354,22484000
11/6/2015,46.14,46.672,45.9,46.472,12226000
11/9/2015,46.598,46.598,44.862,45.066,19254300
11/10/2015,44.696,44.74,43.216,43.3,23085000
11/11/2015,43.554,43.896,42.726,43.816,16739000
11/12/2015,43.57,43.8,42.532,42.588,14579500
11/13/2015,42.59,42.598,41.304,41.438,17151500
11/16/2015,41.218,42.996,41.16,42.862,14626500
11/17/2015,43.04,43.2,42.28,42.8,10743000
11/18/2015,42.9,44.276,42.504,44.214,14059500
11/19/2015,44.108,45.238,44.06,44.36,12521500
11/20/2015,44.698,45,42.716,44.002,22003500
11/23/2015,43.47,43.836,42.936,43.55,12630500
11/24/2015,43.074,44.2,43,43.65,12396500
11/25/2015,44.268,46.164,44.076,45.928,19953500
11/27/2015,46.212,46.45,45.402,46.322,9746500
11/30/2015,46.358,46.856,45.816,46.052,13299000
12/1/2015,46.212,47.6,46.21,47.438,18669775
12/2/2015,47.4,47.72,46.246,46.398,14903840
12/3/2015,47.096,47.49,46,46.542,14697665
12/4/2015,46.492,46.654,45.532,46.076,12868000
12/7/2015,45.54,47.126,45.23,46.226,15721000
12/8/2015,45.504,45.76,44.84,45.344,13438180
12/9/2015,45.34,45.5,44.144,44.904,15288500
12/10/2015,44.942,45.698,44.728,45.414,10358000
12/11/2015,45.048,45.15,43.328,43.404,16343500
12/14/2015,43.502,44.184,42.974,43.716,14153990
12/15/2015,44.364,44.444,43.6,44.218,11222000
12/16/2015,44.42,46.976,44.146,46.902,25521500
12/17/2015,46.788,47.552,45.962,46.678,16493000
12/18/2015,46.578,47.18,45.858,46.092,15070500
12/21/2015,46.338,47.166,46.216,46.512,9765500
12/22/2015,46.998,47.31,45.926,45.99,9805775
12/23/2015,46.436,46.69,45.626,45.94,7774500
12/24/2015,46.112,46.376,45.656,46.114,3551385
12/28/2015,46.298,46.396,45.108,45.79,9506520
12/29/2015,46.012,47.544,45.91,47.438,12031450
12/30/2015,47.32,48.727,47.134,47.618,15620370
12/31/2015,47.702,48.69,47.674,48.002,12515515
1/4/2016,46.144,46.276,43.8,44.682,30622410
1/5/2016,45.272,46.46,44,44.686,15432125
1/6/2016,44,44.01,43.196,43.808,17464055
1/7/2016,42.838,43.688,42.734,43.13,17053930
1/8/2016,43.572,44.088,42.154,42.2,17522305
1/11/2016,42.802,42.89,40.6,41.57,20457110
1/12/2016,42.32,42.748,41.062,41.994,12976945
1/13/2016,42.402,42.53,40,40.062,19106385
1/14/2016,40.442,42,38.676,41.236,29827685
1/15/2016,39.794,41.014,39.45,40.998,21255425
1/19/2016,41.742,42.094,40.156,40.944,20193000
1/20/2016,39.88,40.256,38.25,39.74,26598290
1/21/2016,40.31,40.646,39.004,39.994,14775375
1/22/2016,40.96,41.1,39.806,40.51,15408130
1/25/2016,40.012,40.714,39.176,39.274,10754920
1/26/2016,39.34,39.564,37.776,38.712,20619710
1/27/2016,38.476,38.652,37.154,37.614,17653300
1/28/2016,38.158,38.256,36.482,37.94,19337065
1/29/2016,37.99,38.748,37.616,38.222,11223185
2/1/2016,37.752,39.904,36.55,39.388,22862610
2/2/2016,38.484,38.624,36.046,36.556,24970815
2/3/2016,36.718,36.788,34.036,34.696,33831060
2/4/2016,34.14,35.196,33.398,35.066,18489300
2/5/2016,34.26,34.6,31.549,32.52,44284520
2/8/2016,31.421,31.43,29.2,29.606,38285800
2/9/2016,28.464,31.958,28.21,29.65,39752035
2/10/2016,30.1,30.994,28.348,28.734,40265615
2/11/2016,30.4,32.652,29.4,30.094,67087780
2/12/2016,31,31.402,28.74,30.208,31875545
2/16/2016,31.74,32.59,30.822,31.034,26771950
2/17/2016,31.8,33.868,31.336,33.736,25504275
2/18/2016,34.484,34.59,32.954,33.354,17636810
2/19/2016,32.732,33.498,32.5,33.316,12421490
2/22/2016,34.024,35.782,33.97,35.548,22088625
2/23/2016,35.232,36.346,34.736,35.442,29381475
2/24/2016,34.55,35.9,33.568,35.8,23178885
2/25/2016,35.73,37.704,35.04,37.486,22587280
2/26/2016,37.74,38.4,37,38.068,26152870
2/29/2016,38.48,39.27,37.844,38.386,21132390
3/1/2016,38.85,39.19,36.54,37.27,29175145
3/2/2016,36.746,37.704,36.3,37.668,22681060
3/3/2016,37.656,39.484,36.844,39.148,21234340
3/4/2016,39.6,40.806,39.5,40.208,28660870
3/7/2016,39.536,41.94,39.48,41.058,22445510
3/8/2016,40.7,41.5,40.44,40.52,19143985
3/9/2016,40.904,41.875,40.558,41.744,13761585
3/10/2016,42,42.658,40.134,41.036,25962615
3/11/2016,41.586,41.884,41.066,41.5,14082380
3/14/2016,42.53,43.344,42.128,43.03,20328530
3/15/2016,42.854,43.794,42.3,43.668,15902260
3/16/2016,43.6,44.516,43.404,44.386,17583515
3/17/2016,44.294,45.7,44,45.276,18914455
3/18/2016,45.82,46.896,45.612,46.548,23558965
3/21/2016,47.068,47.976,47,47.664,26539110
3/22/2016,47.442,47.798,46.512,46.848,21579940
3/23/2016,46.474,46.946,44.406,44.516,24744205
3/24/2016,43.156,45.778,43,45.55,24804500
3/28/2016,46.322,46.962,45,46.052,16632060
3/29/2016,45.978,46.476,45.066,46.026,19250040
3/30/2016,47.018,47.1,45.3,45.378,17498240
3/31/2016,45.868,47.484,45.002,45.954,34246560
4/1/2016,48.965,49.58,46.65,47.518,75067875
4/4/2016,49.824,50.424,48.728,49.398,57189905
4/5/2016,48.1,51.312,48,51.094,48346905
4/6/2016,50.794,53.548,50.69,53.084,49197625
4/7/2016,53.29,53.868,50.902,51.44,38209925
4/8/2016,52.1,52.164,49.604,50.014,30893765
4/11/2016,50.2,51.798,49.06,49.984,39580485
4/12/2016,49.9,50.36,48.726,49.564,24565080
4/13/2016,49.702,51.1,49.466,50.906,21260720
